,EDICAO,UF,MUNICIPIO,INSTITUICAO,CURSO,TURNO,NOTA_CORTE
110,20191,SC,São Miguel do Oeste,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",AGRONOMIA,Integral,"588,88"
111,20191,PB,Areia,UNIVERSIDADE FEDERAL DA PARAÍBA,AGRONOMIA,Integral,"590,36"
112,20191,RS,Cachoeira do Sul,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"590,89"
113,20191,MA,Codó,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",AGRONOMIA,Integral,"591,00"
114,20191,RS,Itaqui,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,AGRONOMIA,Integral,"591,94"
115,20191,MT,Tangará da Serra,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"592,90"
116,20191,RS,Vacaria,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"594,84"
117,20191,SC,Canoinhas,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",AGRONOMIA,Integral,"597,80"
118,20191,SC,Chapecó,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,AGRONOMIA,Integral,"598,88"
119,20191,SC,Concórdia,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",AGRONOMIA,Integral,"599,42"
120,20191,SC,Rio do Sul,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",AGRONOMIA,Integral,"580,12"
121,20191,MT,Cáceres,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"581,40"
122,20191,MT,Nova Xavantina,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"582,09"
123,20191,MS,Aquidauana,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,AGRONOMIA,Integral,"583,36"
124,20191,RS,Três Passos,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"583,79"
125,20191,MS,Cassilândia,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,AGRONOMIA,Integral,"584,11"
126,20191,MT,Nova Mutum,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"584,51"
127,20191,RS,Sant'Ana do Livramento,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"585,26"
128,20191,RS,São Luiz Gonzaga,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"586,22"
129,20191,MA,São Raimundo das Mangabeiras,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",AGRONOMIA,Integral,"588,48"
130,20191,SC,São Miguel do Oeste,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",AGRONOMIA,Integral,"588,88"
131,20191,PB,Areia,UNIVERSIDADE FEDERAL DA PARAÍBA,AGRONOMIA,Integral,"590,36"
132,20191,RS,Cachoeira do Sul,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"590,89"
133,20191,MA,Codó,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",AGRONOMIA,Integral,"591,00"
134,20191,RS,Itaqui,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,AGRONOMIA,Integral,"591,94"
135,20191,MT,Tangará da Serra,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"592,90"
136,20191,RS,Vacaria,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"594,84"
137,20191,SC,Canoinhas,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",AGRONOMIA,Integral,"597,80"
138,20191,SC,Chapecó,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,AGRONOMIA,Integral,"598,88"
139,20191,SC,Concórdia,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",AGRONOMIA,Integral,"599,42"
140,20191,SC,Urupema,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",ALIMENTOS,Integral,"528,66"
141,20191,RS,Bagé,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",ALIMENTOS,Noturno,"532,24"
